date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:04	38191/38191	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90e-952f%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-grid-4.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-grid-4.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:04	34219/34219	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90e-85ab%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-masonry-2.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-masonry-2.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:04	40150/40150	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90e-9cd6%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-masonry-3.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-masonry-3.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:05	39633/39633	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90e-9ad1%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-masonry-4.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-masonry-4.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:05	29402/29402	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90f-72da%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-metro.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-metro.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:05	28803/28803	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90f-7083%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-modern.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-modern.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:05	33060/33060	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90f-8124%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/project-details1.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/project-details1.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:06	27176/27176	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90f-6a28%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/project-details2.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/project-details2.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:06	33427/33427	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90b-8293%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/blog-classic.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/blog-classic.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:06	29295/29295	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90b-726f%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/blog-list.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/blog-list.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:06	29858/29858	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90b-74a2%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/blog-half-img.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/blog-half-img.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:06	45282/45282	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90b-b0e2%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/blog-details.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/blog-details.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:07	49039/49039	---MCZ	200	added ('OK')	text/html	etag:W/%226473e910-bf8f%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/shop-list.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/shop-list.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:07	53190/53190	---MCZ	200	added ('OK')	text/html	etag:W/%226473e910-cfc6%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/shop-product.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/shop-product.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:07	32168/32168	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90f-7da8%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/shop-cart.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/shop-cart.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:07	33571/33571	---MCZ	200	added ('OK')	text/html	etag:W/%226473e90f-8323%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/shop-checkout.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/shop-checkout.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:08	47435/47435	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2013%20Jun%202023%2015:57:07%20GMT	https://ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-grid.html	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/portfolio-grid.html	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:08	105782/105782	---M--	200	added ('OK')	image/jpeg	etag:%226473e922-19d36%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/about/2.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/about/2.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:08	18834/18834	---M--	200	added ('OK')	image/png	etag:%226473e937-4992%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/serv-icons/0.png	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/serv-icons/0.png	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:09	21117/21117	---M--	200	added ('OK')	image/png	etag:%226473e938-527d%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/serv-icons/1.png	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/serv-icons/1.png	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:09	16517/16517	---M--	200	added ('OK')	image/png	etag:%226473e938-4085%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/serv-icons/2.png	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/serv-icons/2.png	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:09	6693/6693	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226473e930-1a25%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/patterns/bg-lines-1.svg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/patterns/bg-lines-1.svg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:10	117832/117832	---M--	200	added ('OK')	image/jpeg	etag:%226473e964-1cc48%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/portfolio/gallery/1.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/portfolio/gallery/1.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:10	52178/52178	---M--	200	added ('OK')	image/jpeg	etag:%226473e964-cbd2%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/portfolio/gallery/3.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/portfolio/gallery/3.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:11	54048/54048	---M--	200	added ('OK')	image/jpeg	etag:%226473e922-d320%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/about/sq1.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/about/sq1.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
12:57:11	272297/272297	---M--	200	added ('OK')	image/jpeg	etag:%226473e964-427a9%22	https://ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/portfolio/gallery/2.jpg	C:/My%20Web%20Sites/teste/ui-themez.smartinnovates.net/items/geekfolio/dark/assets/imgs/portfolio/gallery/2.jpg	(from https://ui-themez.smartinnovates.net/items/geekfolio/dark/home-onepage.html)
